"character","term","freq","adjLL","rank","negrank","revrank"
"MALORY","sterling",214,583.634568527395,1,-1,20
"LANA","archer",356,443.154930793182,1,-1,20
"ARCHER","lana",533,412.242000100935,1,-1,20
"KRIEGER","yep yep",24,265.832925225525,1,-1,20
"ARCHER","mother",288,262.502999030852,2,-2,19
"KRIEGER","bup bup",16,212.274418691802,2,-2,19
"CYRIL","jeezy petes",18,202.843751211172,1,-1,20
"LANA","malory",82,172.613829084855,2,-2,19
"KRIEGER","shoo shoo",14,171.195589074563,3,-3,18
"PAM","holy shitsnacks",15,152.992995008838,1,-1,20
"KRIEGER","yep",39,150.090586248395,4,-4,17
"KRIEGER","bup",20,139.029078183791,5,-5,16
"PAM","ungh ungh",14,132.914604535515,2,-2,19
"MALORY","dear",51,130.963536910153,2,-2,19
"CYRIL","cyril figgis",15,130.912633918737,2,-2,19
"KRIEGER","shoo",21,128.086468142407,6,-6,15
"CHERYL","outlaw country",12,124.53900229774,1,-1,20
"CYRIL","jeezy",21,117.282416358953,3,-3,18
"RAY","dukes",17,116.358856463863,1,-1,20
"RAY","y'all",21,115.534293951605,2,-2,19
"KRIEGER","shh shh",12,114.266922961567,7,-7,14
"CYRIL","petes",20,103.785264553255,4,-4,17
"CHERYL","stupid",47,103.149264888483,2,-2,19
"CYRIL","figgis",27,101.992177061104,5,-5,16
"PAM","aw",31,99.5864072063796,3,-3,18
"MALORY","malory archer",14,92.9354909738455,3,-3,18
"PAM","shitsnacks",17,89.9817175796356,4,-4,17
"MALORY","god's sake",15,86.5277883013539,4,-4,17
"MALORY","nikolai",26,83.3707709692212,5,-5,16
"MALORY","sterling malory",9,83.183261080693,6,-6,15
"ARCHER","woodhouse",94,81.6160972409309,3,-3,18
"CHERYL","country",25,75.6165897708561,3,-3,18
"CHERYL","outlaw",14,74.2677162262317,4,-4,17
"CHERYL","eee eee",6,73.5574621457177,5,-5,16
"ARCHER","yeah",571,70.7669944243623,4,-4,17
"PAM","yum yum",8,69.9303402218013,5,-5,16
"CYRIL","ms archer",16,67.3839434402943,6,-6,15
"MALORY","trudy beekman",7,64.6971877565381,7,-7,14
"MALORY","sterling's",14,62.3953269505755,8,-8,13
"ARCHER","cyril",262,61.9700899465252,5,-5,16
"ARCHER","lana lana",24,59.5632634189483,6,-6,15
"PAM","holy",30,57.0370579451425,6,-6,15
"KRIEGER","ow ow",15,57.0188345217341,8,-8,13
"CYRIL","wuh wuh",5,56.3425208625947,7,-7,14
"PAM","aw crap",5,55.8970687234665,7,-7,14
"RAY","makeup hair",4,55.4783449488821,3,-3,18
"CHERYL","gross",17,55.4331492268926,6,-6,15
"LANA","shit shit",6,55.2779982240653,3,-3,18
"KRIEGER","film film",4,53.0655753940907,9,-9,12
"LANA","archer archer",9,52.511198223148,4,-4,17
"CHERYL","ugh",40,51.8005645714946,7,-7,14
"PAM","dicknuts",9,51.6627636035378,8,-8,13
"LANA","shit",100,51.2032100877919,5,-5,16
"CHERYL","country woooooo",4,49.0370097063365,8,-8,13
"CHERYL","ooo ooo",4,49.0370097063365,9,-9,12
"CHERYL","duh",27,47.784603526955,10,-10,11
"ARCHER","mawp",20,47.262791366819,7,-7,14
"ARCHER","yeah lana",13,46.9563761505245,8,-8,13
"KRIEGER","shh",16,46.7332450761732,10,-10,11
"PAM","yum",11,46.2154679274456,9,-9,12
"MALORY","herr schlotz",5,46.2111484955066,9,-9,12
"CYRIL","archer hey",4,45.0732452952372,8,-8,13
"MALORY","isis",56,44.7978971563542,10,-10,11
"PAM","yay",12,44.6954852783923,10,-10,11
